 NA. No. LeaseWarehouse District LaiLong longtitude Area Fee Closest_point Closest_distance House_Price Distance_from_center
47 1209 4502 （出租）独院出租水电齐全 Daxing 39.634751 116.324249 800 0.166666666667 17886 0.393646920682 35911.0 15.3539910851
48 683 3704 （出租）出租顺义-后沙峪2000平米仓库10000元/月 Shunyi 40.104699 116.543903 2000 0.166666666667 19261 0.190517332955 71741.0 19.6498626744
49 760 3448 （出租）通州西集太平庄村3亩宅基地，动力电，低价位 Tongzhou 39.816905 116.881565 2000 0.166666666667 21567 6.90587095803 22653.0 54.7808526485
50 997 3696 （出租）出租通州-次渠1000平米仓库5000元/月 Tongzhou 39.8041293 116.6405052 1000 0.166666666667 13400 2.18244673137 32403.0 28.2596769183
51 1002 1016 （出租）出租大兴-西红门1000平米仓库5000元/月带宿舍短租 Daxing 39.790297 116.350479 1000 0.166666666667 17862 0.264006068381 44253.0 7.30834413114
52 1383 4640 （出租）出租大兴-大兴周边600平米整院出租 Daxing 39.647321 116.399455 600 0.166666666667 18158 2.99846960691 33845.0 12.9002301939
53 1507 3531 （出租）出租大兴-大兴周边500平米仓库2500元/月 Daxing 39.701884 116.327638 500 0.166666666667 17396 0.461399475756 49031.0 12.3315302137
55 1627 3209 （出租）出租通州-宋庄400平米仓库2000元/月 Tongzhou 39.946538 116.745791 400 0.166666666667 12670 1.09785604601 90818.0 39.544532802
56 1743 2606 （出租）庞各庄定福庄仓库300平米 Daxing 39.916724 116.563516 300 0.166666666667 3054 0.1799489996 67922.0 19.2342578025
57 1843 2434 （出租）朝阳周边东五环外金盏乡皮村仓库300平米 Chaoyang 39.92147 116.443108 300 0.166666666667 2504 0.0977475883294 80972.0 5.88070048273
58 2052 2711 （出租）青云店镇小谷店村仓库150平米 Daxing 39.666309 116.52258 200 0.166666666667 12761 4.67465379815 42089.0 18.9263675374
59 2067 2354 （出租）回龙观上地二拨子北清路生命园200平米库房 Changping 40.080984 116.347311 200 0.166666666667 13792 0.204957854948 42578.0 9.82568229496
60 2121 4728 （出租）金华市金东区孝顺镇鞋塘03省道边上张下陈村 Shunyi 40.130347 116.654651 150 0.177777777778 19790 0.10321017004 45000.0 31.3779143703
61 1196 3299 （出租）大兴北臧村镇西大营村大队庆丰西路北200米 Daxing 39.726929 116.341395 850 0.18 17014 0.0509211734925 34075.0 10.4619769153
62 1346 3560 （出租）南口紧邻京藏高速仓库660平米 Changping 40.246675 116.135011 660 0.181818181818 15333 0.258675988604 26456.0 32.9556719334
63 669 1021 （出租）出租怀柔庙城高两河库房 Huairou 40.291606 116.68558 2300 0.188405797101 21367 0.296950631446 22677.0 37.947996541
64 484 841 （出租）冻库，仓库出租 Fangshan 39.754513 116.089668 3500 0.190476190476 20273 1.72313885299 32304.0 34.2957850533
65 1721 974 （出租）沙河高教园地铁站西南500米仓库350平米 Changping 40.148969 116.290595 350 0.190476190476 16261 0.582117453835 27465.0 16.2949981631
66 1889 2837 （出租）潞城7室平房独院出租 Tongzhou 39.915848 116.728974 260 0.192307692308 12670 1.67293171869 90818.0 37.6292156882
68 1883 3703 （出租）潞城7室整院出租（仓库） Tongzhou 39.873735 116.817834 260 0.192307692308 21905 2.40275941995 32353.0 47.5375050661
69 1143 2474 （出租）通州宋庄白庙仓库出租 Tongzhou 39.940709 116.72745 1000 0.193333333333 12073 1.88339682017 59738.0 37.4937952083
70 383 3583 （出租）低价出租仓库厂房 Changping 40.147968 116.317955 5000 0.2 15343 1.39282958571 41819.0 14.3559163152
71 629 3304 （出租）出租房山长阳仓库 Fangshan 39.841181 116.209211 2500 0.2 10522 0.0927803011878 40565.0 20.4312059821
72 1594 4721 （出租）出租大兴大兴周边仓库 Daxing 39.640734 116.248062 500 0.2 20458 6.45298241499 43126.0 20.5951420638
73 24 962 （出租）低价出租水电办公室齐全厂库房 Tongzhou 39.749173 116.561185 50000 0.2 13514 0.181782479408 37114.0 20.5297057555
75 627 2981 （出租）能接受2楼仓库的进来，价格低廉，有两部电梯 Tongzhou 39.798978 116.658076 2500 0.2 13400 2.02526920971 32403.0 30.2278804949
76 830 4658 （出租）出租通州-漷县1500平米仓库9000元/月 Tongzhou 39.77976 116.793715 1500 0.2 13227 0.926103257832 30584.0 45.2746473696
77 980 3955 （出租）百子湾整体地下室直租，适合办公、库房、工作室 Chaoyang 39.899065 116.512935 1100 0.2 2512 0.264003388513 63086.0 13.610949532
78 1015 506 （出租）次渠镇政府东侧六环内通马路边库房低价出租可长期用 Tongzhou 39.803191 116.591598 1000 0.2 12687 0.354265079265 30640.0 22.9426479911
79 1018 648 （出租）出租电商仓库，可分割，可提供专业仓配一体化服务 Daxing 39.685539 116.50162 1000 0.2 17344 4.01042304386 43180.0 16.5310940116
80 1593 3539 （出租）生物医药基地大藏村南仓库500平米 Daxing 39.696489 116.319069 500 0.2 17216 0.231616037828 32880.0 13.1057133134
81 2014 4416 （出租）整院出租能做住宅也可当仓库 Daxing 39.63148 116.414675 200 0.2 18373 2.26982470608 34145.0 13.9095227358
82 2069 4216 （出租）孙河来广营北路炼油厂独院住房仓库200㎡ Chaoyang 40.041114 116.523557 200 0.2 3427 1.06733623932 58101.0 16.1991721321
83 2339 2100 （出租）出租昌平天通苑半地下仓库 Changping 40.0671832 116.4152304 100 0.2 13879 0.192049156827 39767.0 8.35659408515
84 1345 983 （出租）顺义右边仓库厂房660平米 Shunyi 40.07017 116.828633 660 0.20202020202 21877 4.24274474058 35740.0 49.3774767575
85 72 2553 （出租）顺义区龙湾屯35亩建设用地出租 Shunyi 40.130347 116.654651 23000 0.202898550725 19790 0.10321017004 45000.0 31.3779143703
